Ni;28;54;10.72;0.8
Cu;29;53;25.73;0.4
Zn;30;52;42.314;0.003
Ga;31;51;52.93;0.0024
Ge;32;50;65.41;0.0022
As;33;49;70.10;0.004
Se;34;48;77.593;0.0005
Br;35;47;77.498;0.001
Kr;36;46;80.591;0.00006
Rb;37;45;76.188;0.003
Sr;38;44;76.010;0.006
Y;39;43;68.064;0.005
Zr;40;42;63.614;0.0016
Nb;41;41;51.81;0.3
Mo;42;40;40.37;0.4
